Hoy,lun 21-sept-2026 23:39,,1INF54 Proyecto de Diseño y Desarrollo de Software,Publicado menos de 24h...,,
27,mar 25-ago-2026 10:30,,"Los bloqueos de las calles son situaciones que ocurren por lo cual no es posible el acceso vehícular en algunos tramos de la pista. 
Dichos tramos bloqueados están identificado por un par de puntos extremos (nodos). Un nodo (una esquina o un extremo del tramo) bloqueado no se puede atravesar y no se permite girar a los lados. Por ello, si una unidad de transporte llega a un nodo bloqueado, debe regresar por el mismo lugar por el que llegó (media vuelta o vuelta en U).

Para el curso se asumirá que sólo existen bloqueos planificados con antelación. No hay bloqueos fortuitos por ninguna razón (p.e. accidentes, caida de postes, etc). 
Las calles se bloquean durante un periodo de tiempo planificado por la municipalidad.  Se tendrá un archivo mensual con dicha planificación (aaaamm.bloqueado.txt).

Los bloqueos que se definan pueden ser como un polígono abierto o polígono cerrado. Para el caso de un polígono abierto, se tendrá que siempre es posible llegar a todos los puntos de la poligonal. Para el caso de un polígono cerrado, sólo serán del tipo convexo; por lo que algunos puntos no serán alcanzados.
Sin embargo, para el curso 1INF54 del 2026-2, se trabajará unicamente con polígonos abiertos.

Archivo de bloqueos
El nombre del archivo de calles bloqueadas es:
Nombre: aaaamm.bloqueadas
donde aaaa = año = 2026, 2027 y 2028
mm = mes 01 para enero, 02 para febrero, así sucesivamente

Se les entregará, al menos, un año de calles bloquedas. En caso necesario, pueden extender los mismos archivos para el siguiente año.

No se van a considerar otros tipos de bloqueos ni tampoco las generadas por las averías. Esto último punto significa que si una unidad de transporte se averia, la vía sigue habilitada para que otras unidades de transporte circulen sin problemas por ahí.","La estructura del archivo de bloqueo de calles es:
Registro:     ##d##h##m-##d##h##m:x1,y1,x2,y2,x3,y3,x4,y4......xn,yn
                     01d06h00m-01d15h00m:31,21,34,21

     1er ##d##h##m se refiere al momento de inicio del bloqueo
     2do ##d##h##m se refiere al momento de fin del bloqueo
     ##d##h##m  significa: 
             ##d = día : 01d, 02d, 03d, 24d, ..
             ##h = hora: 00h, 01h, 02h, 03h,.... 10h, 17h
             ##m= minuto: 00m, 01m, 02m, 03m, ... 10m, 11m, ...58m, 59m
     Xi,Yi representa el nodo, expresado como coordenada X,Y.
P1 = x1,y1 punto inicial del primer tramo de nodos bloqueados
P2 = x2,y2 punto final del primer tramo de nodos bloqueados e inicio del segundo tramo de nodos bloqueados (en caso existan más Puntos P)
P3 = x3,y3 punto final del segundo tramo de nodos bloqueados e inicio del tercer tramo de nodos bloqueados (en caso existan más Puntos P)

El registro tiene inicio (primer dd:hh:mm) y fin (segundo dd:hh:mm) de periodo donde los nodos estarán bloqueados.",,
13,mar 08-sept-2026 22:40,,Se ha publicado los archivos en el área de datos. Verifique lo indicado en la respuesta.,,,
46286,,8,¿Cómo es el archivo histórico de pedidos?,,,
27,mar 25-ago-2026 10:45,,"El archivo histórico y proyectado de envíos es mensual. Se considera histórico a cualquier pedido/envío que sea anterior al instante del tiempo actual. 

El archivo cumple con lo siguiente:

Nombre de archivo : ventas2026mm  mm=mes (01 para enero, 02 para febrero, así sucesivamente)

Registro: ##d##h##m:posx,posY,cIdCliente,qq,hl

Ejemplo: 11d13h31m:45,43,c9167,12,36

##d##h##m es el día, hora y minuto en que el pedido llegó; en el ejemplo es 11d13h31m
posX,posY es la ubicación de la entrega, en el ejemplo es 45,43
cIdCliente es el identificador del cliente  c9167
qq es la cantidad de unidades de producto P, en el caso qq=12
hl, el número de horas límite de la entrega, en el ejemplo 36",,,
46286,,,,,,
46286,,9,¿El tamaño de la flota es fija en el tiempo?,,,
27,mar 25-ago-2026 19:56,,En principio si. Sólo se puede cambiar de flota al inicio de una ejecución de la solución.,,,
46286,,,,,,
46286,,10,¿Todas las unidades de transporte salen del mismo almacen?,,,
46286,,,"Al inicio de cualquier de los escenarios (fecha-hora), todas las unidades de transporte salén del almacén central. 
Cualquier unidad de transporte puede recargar en cualquier almacén mientras tengan stock. .

Todos las unidades de transporte ....retornan para recarga a cualquier almacen.
Las unidades de transporte no pueden regresar a un almance que no tienen stock.",,,
46286,,,,,,
46286,,11,¿El tiempo de entrega de 1 hora está dentro o fuera del plazo de 36horas o los plazos priorizados?,,,
19,mié 02-sept-2026 19:15,,No. El tiempo de entrega (operación/acondicionamiento) dentro de las instalaciones del cliente no se considera dentro del plazo de entrega de 36 horas o los plazos priorizados.,,,
46286,,,,,,
46286,,12,¿Cómo se hace con los choferes cuando la ruta asignada trasciende su turno.....?,,,
19,mié 02-sept-2026 19:15,,El conductor da el alcance a la unidad de transporte en el punto en que cambia de turno.  El tiempo  de cambio del conductor es despreciable.,,,
46286,,,,,,
46286,,13,¿Hay entregas parciales?,,,
19,mié 02-sept-2026 19:15,,Sí.,,,
46286,,,,,,
46286,,14,En el caso que se tengan entregas parciales ¿cómo se maneja la hora de acondicionamiento del productop P? ,,,
19,mié 02-sept-2026 19:15,,"El tiempo de acondicionamiento del producto P es de 1 hora por entrega. 

Ejemplo 1. Si en la entrega se dejan 5 productos P, el aconcionamiento de dicha entrega es de 1 hora.
Ejemplo 2. Si la entrega llega en, al menos, dos unidades, una de 2 productos y otra de 3 productos. El tiempo de acondicionamiento de la 1era entrega (2 productos) es de 1 hora y el tiempo de acondicionamiento de la 2da entrega (3 productos) es de 1 hora.

Entonces por cada entrega parcial, siempre se toma ""solamente"" 1 hora independiente de la cantidad de productos.",,,
46286,,,,,,
46286,,15,¿El cambio de velocidad en caliente es por la unidad o por el tipo de vehículo?,,,
19,mié 02-sept-2026 19:15,,Por tipo de unidad.,,,
46286,,,,,,
46286,,16,¿El cambio de velocidad en caliente aplica desde la salida o a los que están en ruta?,,,
13,mar 08-sept-2026 22:40,,"En principio aplica una vez que se graba la nueva velocidad en el sistema.
A nivel de implementación, considerar que se aplica para la siguiente iteración de planificación. 

Por ejemplo: En una simulación 5D, se puede cambiar la velocidad en el día 3d 10h12m y el nuevo valor aplica en la siguiente iteración dentro de dicha simulación.

Tener en cuenta que todo vehículo en el almacén o en ruta es vuelto a planificar en cada iteración, al margen que luego de la planificación mantenga la misma ruta o cambie.",Pueden volver a preguntar luego vean el video de cómo idear la simulación consumiendo los datos y no el tiempo.,,
46286,,,,,,
46286,,17,¿Cuál es el tamaño de la flota?,,,
13,mar 08-sept-2026 21:54,,"Se ha incluido la hoja Flota para ver lo considerado.

",,,
6,mar 15-sept-2026 19:01,,"Tipo        Cantidad (Unidad)     Capacidad (Productos)
Autos                  10                             24
Motos                 15                             08
Bicicletas            12                             04",,,
46286,,18,¿Cómo se identifica la flota?,,,
13,mar 08-sept-2026 22:46,,"Los códigos de las unidades de transporte son:  TTNN
  donde TT es el tipo y NN es un correlativo.
  ejemplos:
       TA01  es la unidad  01 del tipo Autos
       TB10  es la unidad 10 del tipo Bicicletas
       TM03 es la unidad 03 del tipo Moto

Recuerde que la flota puede cambiar en cualquier momento, pero NO durante una presentación del software.",,,
46286,,,,,,
46286,,19,¿Cuál es el plan de mantenimiento?,,,
13,mar 08-sept-2026 23:16,,"El nombre del archivo de mantenimiento preventido es:
Nombre: mant.preventivo.m1.m2  donde m1 es el primer mes y m2 el segundo. P.e. 09.10 (setiembre y octubre)
Registro: aaaammdd:TTNN
ejemplo:      aaaa = año
                      mm   = mes (01, 02, 03, ...)
                      dd   = día (01, 02, 03, ...)
                      TT   = Tipo (TA, TB, ...)
                      NN   = Numero (01, 02, ...)
Nota 1. Una unidad de transporte programado para mantenimiento NO estará disponible para programación de rutas desde las 00:00 hasta las 23:59.
Nota 2. Si un tanque cisterna está en ruta, al inicio de su mantenimiento, debe retornar de inmediato a las 00:00, incluso si no ha entregado un pedido. En realidad eso deben evitarlo en la planificación.

El archivo está en la zona de datos. Debe generar el resto de archivos para cubrir el siguiente periodo. 01 Ene 2026 hasta 31 Dic 2028.","El plan de manteniemiento es bimensual (vale para dos meses) y se repite cada 2 meses. Por ejemplo  para septiembre, octubre, el siguiente:
Plan
20260901:TA01
20260902:TB01
20260903:TM07
20260906:TB11
20260907:TA03
20260908:TB03
20260909:TM09
20260912:TM01
20260913:TA05
20260914:TB05","20260915:TM11
20260918:TM03
20260919:TA07
20260920:TB07
20260921:TM13
20260924:TM05
20260925:TA09
20260926:TB09
20260928:TM15
20261003:TB10
20261004:TA02
20261005:TB02
20261006:TM08
20261009:TB12","20261010:TA04
20261011:TB04
20261012:TM10
20261015:TM02
20261016:TA06
20261017:TB06
20261018:TM12
20261021:TM04
20261022:TA08
20261023:TB08
20261024:TM14
20261027:TM06
20261028:TA10"
46286,,,"FALTA poner duración de los mantenimientos.... bicicletas  duran un turno, motos 1 día, y autos 2 días...",,,
46286,,20,¿Se puede mandar el vehículo lleno a pesar que va a entregar un pedido de 1 unidad solamente?,,,
46286,,,lo más probable es que no... x conversar con el prof. JC,,,
46286,,,,,,
46286,,21,¿Qué pantallas de mantenimiento de tablas serán obligadas y cuáles pueden ser por Script?,,,
46286,,,x definir con el prof JC.,,,
46286,,,,,,
46286,,22,¿...?,,,
46286,,,,,,
46286,,,,,,
46286,,23,¿...?,,,
46286,,,,,,
46286,,,,,,
46286,,24,¿...?,,,
46286,,,,,,
46286,,,,,,
46286,,25,¿...?,,,
46286,,,,,,
46286,,,,,,
46286,,26,¿...?,,,
46286,,,,,,
46286,,,,,,
46286,,27,¿...?,,,
46286,,,,,,
46286,,,,,,
46286,,28,¿...?,,,
46286,,,,,,
46286,,,,,,
46286,,29,¿...?,,,
46286,,,,,,
46286,,,,,,
46286,,30,¿ s?,,,
46286,,,,,,
